,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_164,0.9198,0.302,1.0784,2.092,0.8401,0.959,1.2875,1.1353,0.8166,0,4.9359,4.282,3.9086,3.8896,3.8678,1.382,0.7601,1.392,0,1.4798,0.9259,0.8529,0.2327,1.4992,1.4309,0.3699,1.0941,1.3608,0.7684,1.8623,1.9479,1.0938,1.6652,1.4374,1.1742,0.8739,0,1.4924,1.0449,1.2198,1.1304,0.5344,1.0182,0,1.7405,0.5941,0,0.8609,1.2331,1.6063
Cell_165,1.6105,1.0265,2.1977,1.0186,1.1782,1.0917,0.4114,0.2083,0.2528,1.2353,4.0322,2.9934,4.283,3.7994,3.4386,1.3638,0.7157,1.9615,1.5402,1.2574,1.4005,1.0813,1.0761,0.3069,2.0181,0.0556,2.0081,1.4922,1.3736,0.542,0.9175,0.5127,0.3414,1.4715,0.9548,0.0105,1.0175,0.929,1.6195,0.6482,1.453,1.0838,0.662,1.1969,1.6192,0.945,1.335,1.3393,0.3032,1.2752
Cell_166,0.888,1.3078,1.4093,1.5841,0.6156,1.1059,2.1908,1.4691,1.8097,0,3.6655,3.4659,5.3849,3.6168,4.0566,1.0138,1.3084,2.3176,0.7871,0.7384,1.2023,1.5428,0.664,1.0821,0.9749,0.6254,0.9412,1.7738,1.1484,0.7443,0.9695,1.7965,1.0815,0.8823,1.0026,1.8472,1.2873,1.9194,0.8959,0.5731,0.9595,1.0341,0.9501,1.0439,1.4736,0.0309,1.051,1.6533,1.706,0.9988
Cell_167,0.9121,1.4663,1.5118,0.5397,1.0544,1.0752,1.1525,0.4373,0.9126,1.4926,5.0172,3.5318,4.203,5.1269,3.6119,1.7934,1.3427,0.7312,0.7876,0.8765,1.3423,1.7239,1.3517,2.0205,1.2883,0,2.1774,0.4682,1.6138,0.989,1.9274,0.9045,0.8231,1.5114,0.9582,0.6048,0.4666,1.0606,1.248,1.0052,0.8826,0.9583,1.5727,1.6389,0.9129,1.3061,0.7576,0,0.7294,0.8989
Cell_168,1.2665,1.5968,1.6799,1.3333,0.6813,0.7712,1.3886,2.0046,0.8921,1.6389,3.8955,3.7638,3.2179,5.0884,4.0461,1.6945,1.0873,0.42,0.8089,1.0906,1.1022,0.7298,0.9541,1.4013,1.897,0.6874,0.9389,0.5529,1.2475,0.9337,0.8347,1.0326,0.7355,1.1994,0.4641,1.6199,1.0464,0.6186,0.6557,1.0936,0.6045,1.254,1.5572,1.4482,1.8078,1.318,1.4899,0.9047,0.917,1.129
Cell_169,1.2757,1.6886,1.8254,1.3344,1.299,1.4147,2.0373,1.7428,1.7715,1.4532,3.7975,4.2484,3.7009,3.9347,4.2967,1.6175,1.3439,0.6763,1.359,1.4744,1.2628,1.2065,0.5079,2.1101,0.1788,0.1498,1.4129,0.8126,1.2303,1.5695,0.0242,0.9194,1.5804,2.044,1.3299,1.4869,1.7587,1.3203,1.5137,0.1705,1.3303,1.1074,0.4458,1.219,1.4706,0.7468,0.7273,1.4851,1.5858,0.7747
Cell_170,1.0424,1.312,0.5881,1.4395,0.7287,0.7635,1.491,0.8604,1.2732,0.569,4.0634,4.2172,4.7587,4.3548,4.4505,0.9099,1.2847,1.5588,0.8574,1.3249,0.8744,0.7205,1.8678,0.9847,1.1843,0.8701,1.5163,1.637,0.598,0.6891,0.8256,1.0127,1.4132,1.0295,1.4552,1.3196,0.9588,0.9645,0.9436,0.7293,1.6331,1.0153,0.9743,1.162,1.488,0.368,1.218,1.0484,1.4812,1.4014
Cell_171,1.389,0.6815,1.3917,0.3312,1.3858,0.6997,1.2437,0.6276,1.0008,0.8966,2.9278,4.0873,5.0215,4.6066,3.4655,0.2744,1.8795,0.7348,0.7156,1.5611,1.093,0.8214,0,1.83,0.6688,0.1207,1.5898,0.5324,1.391,0.4126,0.2094,0.1416,1.2074,0.5845,1.438,1.7122,0.5539,1.1962,1.0805,0.9784,1.7184,1.2867,0.645,0.9744,0.9307,0.7463,1.8225,0.4952,0.2834,0.6092
Cell_172,1.4116,0.2775,0.7136,1.8268,1.8742,1.7798,1.1897,0.8226,0.5322,1.0988,4.3139,4.3949,4.804,3.3674,3.7942,1.7419,0.4239,1.5501,1.9112,0.2086,0.872,1.4512,0.9896,0.9486,1.2845,1.3722,1.4697,1.3268,1.2872,0.8125,1.27,1.4056,1.2507,1.4684,1.7978,1.1142,1.3741,0.8287,1.6319,1.2095,0.1996,1.0151,1.6954,0.812,1.4931,0.7634,0.3105,0.6906,0.934,1.4735
Cell_173,0.4791,1.3514,0.7435,1.764,0.9522,0.6744,0.7668,0.4405,1.7743,1.3806,3.4996,4.9055,4.3057,4.5745,3.6242,1.1285,1.0374,1.1247,1.8293,0.2618,1.2015,0.866,1.2462,1.7831,1.6938,1.2698,0.8167,1.0878,1.0368,0.6509,1.3255,0.2874,0.4488,0.8181,1.3072,1.1254,1.5596,1.3539,1.6518,0.6815,0.6288,1.3363,1.073,1.3177,1.2368,1.003,1.5717,0.6277,1.1165,0.1588
Cell_174,1.4346,1.7297,1.7259,1.6048,0.1473,0.3062,1.1039,0.6643,0.5513,0.9976,4.8442,4.4648,3.5723,3.2272,4.6714,0.6219,1.5717,1.2927,1.3858,1.2741,0.7025,0.8476,0.1362,1.0815,0.7078,1.5549,1.3977,1.6094,0.9615,1.1568,0,0.9886,0.8544,1.0481,0.9548,0.9594,0.4478,0.5683,1.0976,1.0861,0.2041,0.671,0.4699,0.3572,0.7933,0.9777,0.8752,1.1256,0.615,0.7046
Cell_175,1.2545,1.16,1.249,1.342,1.2527,1.3887,1.0227,0.6629,1.3091,1.0292,4.4615,4.0976,4.8007,4.7294,4.6273,0.8766,0.293,1.1209,0.7188,1.3341,1.4236,0.9477,0.8327,1.2881,1.245,1.5982,1.4633,1.7623,1.3367,0.4011,0.3437,0.7032,1.5299,0.6216,2.5361,1.1212,0.0188,0,1.5999,1.1854,2.1905,0.796,0.1392,1.1764,1.0719,0.8747,1.5051,1.2852,1.1225,1.0853
Cell_176,1.5868,1.6803,1.3907,1.485,0.4371,1.5741,1.829,0.9944,0.4409,0.7864,4.5817,3.0791,3.1922,3.3724,3.81,0.7191,1.6807,1.152,1.1034,0,0.5086,1.1005,0.5501,0.2533,1.0181,1.0369,1.1086,1.1914,1.5207,1.2012,0.942,0.5337,1.1024,0.2645,1.555,1.5668,0.2769,0.6538,1.5111,0.7073,0.1497,0.2653,1.439,0.9612,0.2475,0.8518,0.2266,0.5184,0.4724,1.2861
Cell_177,0.3719,1.2137,0.3018,1.487,0,1.0988,1.2914,0.7091,0.7501,0.7767,3.7771,4.3085,4.6374,4.5694,3.0486,1.14,0.5818,1.4465,0.7955,1.1777,1.076,0.2215,1.2351,1.0768,1.0652,0.6203,1.1295,0.8344,1.3122,1.1703,0.7765,0.8937,1.2897,0.4184,0.9655,1.7596,1.7449,0.8548,1.4708,1.3983,0.568,1.0341,0.5514,1.3955,1.265,2.0703,0.6754,1.1104,1.5201,0.7166
Cell_178,1.0161,1.0374,0.9143,0.8031,0.8886,0.3229,1.7705,0.6582,0.7791,1.1009,4.4805,5.3368,4.8621,3.3428,3.3455,0.0171,0.3125,0.7073,0.9063,1.2612,1.0021,0.9899,1.1812,0.8951,0.8789,1.2786,1.3065,1.3909,0,0.9797,1.6549,0.7544,1.0147,1.1617,0.9924,1.316,1.3721,1.3841,2.6767,1.2688,0.0198,0.3439,1.915,0.111,0.4478,1.2247,1.6295,1.4924,0.8414,1.0592
Cell_179,0.6635,0.9011,0,0.4514,0.1535,1.149,0.0753,1.6811,1.8727,0,3.6666,4.2472,3.977,3.572,4.6942,0.5954,0.7629,1.247,1.6015,0.9172,0.5895,0.8633,0.6785,1.6651,1.9808,0.8565,1.3426,0.8028,1.2722,1.0002,1.0484,2.6493,0.445,1.0936,1.416,0.7707,0.3459,0,0.5694,0.9258,1.0852,0.9576,0.7445,0.4131,0.6106,0.4136,0.8118,1.6667,1.017,0
Cell_180,1.2021,1.9509,0.3478,1.3478,0.5134,0,0,0.8368,1.7264,1.6954,3.7759,4.3832,3.8049,3.7049,3.8553,1.2599,0.3259,0.6058,1.7917,0.796,0.1744,2.1624,1.2586,1.2653,0.1169,1.0826,2.1094,1.6632,0.9425,2.2145,1.3833,0.2732,1.3482,0.9811,1.2739,0.9688,1.1078,1.2937,0.677,0.3611,1.3718,0.5038,1.2331,1.3716,1.3226,1.8394,1.7315,1.4369,0.5216,0.2273
Cell_181,1.0182,1.2008,2.2967,0.3109,1.2181,1.0115,0.8265,1.54,0.4902,1.0602,4.8922,4.0334,4.3981,5.0827,4.3039,1.1457,1.3936,0.8172,1.6704,0.4083,1.4214,0.9597,1.7393,0.7275,1.0796,0.4663,0.7551,1.3672,1.1499,0.6216,0.7492,0.9933,0.3978,0.7162,0.3913,0.8747,1.1553,1.0731,0.9116,0.7338,0.7242,0.7625,0.9595,1.2781,0.6287,1.0707,0.6811,0.3963,1.1168,0.7005
Cell_182,0.7617,0.5819,1.193,0.4131,2.2184,1.3983,0.4428,1.1764,1.7966,0.707,3.3649,3.9137,3.1004,3.9265,3.8814,0,0.7977,1.6423,0.8321,0,1.3216,0.414,1.7242,0.753,1.1115,1.0743,1.2729,1.4435,0.9736,0.715,1.5501,0.6699,0.7633,0.5017,0.8966,0.4584,0.6759,1.5791,0.7848,1.0683,1.3503,1.1704,1.5546,0.8813,1.704,0.2319,1.6707,0.581,0.2503,1.4347
Cell_183,1.1363,1.4368,1.3131,1.206,0.9075,1.1692,0.9311,0.5383,1.1132,1.0224,3.7388,3.2848,4.4019,4.0886,3.5048,1.5312,0.4357,1.1339,0.4403,1.2851,1.6599,0.377,2.4878,1.3004,0.2617,1.8127,1.4,0.7647,1.5103,0.9311,1.2943,0.2226,0.7231,0.6476,0.3105,1.0596,0.3813,0.2853,0.7447,1.4353,0.9247,0.6802,0.66,1.3212,1.3344,0.9865,0.9729,0.6212,1.4097,0
Cell_184,0.781,1.2565,0.4059,0.365,2.4589,1.2497,0.8921,0.3793,1.5109,0.1482,3.9272,4.3866,2.264,3.0005,5.5864,0.7255,1.4022,1.4913,0.6251,1.5929,0.964,1.0336,0.3004,0.7957,0.9857,1.5816,0.8894,0.9224,0.7939,1.9356,0.3,0.495,1.662,1.1041,1.1475,1.5589,1.1848,0.4121,0.6093,0.4038,0.3889,1.4822,0.9793,0.4008,0.618,1.8388,0.5667,0.2431,1.033,1.3746
Cell_185,0.9115,1.147,1.1457,0.5388,1.1974,0.0646,1.7748,0.826,0.8456,1.0909,2.7217,5.3331,2.9205,4.6789,3.291,0.7443,0.6391,1.4359,0.2841,0.679,1.6122,1.301,1.591,0.4118,0.6902,1.8657,2.0207,1.0728,1.02,1.1418,0.5434,1.3025,0.4175,1.8095,0.9002,1.413,1.6112,1.3903,1.3315,1.5107,1.6807,1.2392,0.8042,1.4139,0.8022,0.8993,1.9685,0.6346,0.7383,0.6286
Cell_186,0.8276,1.4107,0.7329,0.9882,1.601,0.9429,0.6895,0.1241,0.2542,0.8449,3.9292,4.5326,5.0869,3.512,3.2004,0.8059,1.5099,1.1582,1.3953,0.6711,1.5916,0.2694,1.191,0.7901,1.4741,0.6733,1.3848,0.8224,1.0257,0.5549,0.1221,1.3857,1.1674,0.2392,1.485,0.945,1.2784,0.2359,0.378,1.3418,0.6473,1.1507,0.6065,1.4347,1.4513,0.4005,0.6031,1.0246,0.6421,0.7572
Cell_187,1.1542,0.6048,1.8427,1.4253,0.2361,1.5492,1.8665,0.5063,1.8173,1.6108,3.7199,3.7925,3.9855,4.5722,4.3465,1.481,0.9961,1.6483,0,1.1693,0.3493,0.5911,0.3833,0.672,1.7522,0.9828,0.6931,0.8251,1.569,0.1204,1.2144,1.228,1.1282,0.9669,1.6081,1.6421,1.179,1.702,0.5097,1.2742,1.7075,0.5158,0,0.9946,0.5663,1.1876,1.2117,0.3932,1.1258,0.4764
Cell_188,1.0196,0.7484,0.2246,0.9187,0.6214,0.9934,0.2691,1.0217,0.3191,1.317,3.5004,4.5712,4.4331,4.8054,3.3537,0.8592,1.2919,0.6536,2.0396,0.8043,0.3994,0.5192,1.1138,0.2362,0.9291,0.7839,1.9587,0.907,0.8739,1.3307,1.1466,0.2757,0.4206,1.856,0.9463,0.3189,1.0173,0.1693,1.5446,1.5163,0.8022,1.2875,0.7174,0.8034,1.699,1.4422,0.6405,0.8363,0.2796,0.6184
Cell_189,0.3685,1.5186,1.0342,0.606,1.4939,0.6687,1.2172,0.715,0.6986,1.2003,3.5397,4.1555,2.7021,3.8482,4.6112,0.7555,1.4702,1.1561,0.653,0,0,1.7033,0.743,1.4384,0.9248,0.5093,1.3651,0.9431,1.3954,0.7863,1.8507,0.7229,0.7595,1.796,1.3097,1.1296,0.5683,1.0358,1.3865,0.8064,1.516,1.045,1.1286,0.0088,0.0008,0.078,0.4606,0.8666,0.7828,0.8491
Cell_190,1.2692,0.4455,1.1977,0.9588,1.1954,1.3331,0.4876,0.7998,0.6619,0.8604,3.9166,3.5515,3.6187,4.5515,3.1411,1.1472,0.9551,0.2374,2.0666,1.6144,0.4858,1.7163,1.6751,0.2759,1.6256,1.4997,0.1762,0.7576,1.5996,1.028,1.0388,0.699,0.9514,0.9023,1.6739,1.0304,1.4058,1.0606,1.2331,0.5777,0.1281,1.308,1.6768,0.8083,1.808,0.766,0.1486,1.021,1.8608,1.4534
Cell_191,0.3383,0.6218,1.1515,0,0.7706,0.32,1.3676,0.955,0.4925,1.4087,4.5375,3.6613,3.3266,4.6171,4.758,0.6269,0.6673,1.1331,1.2526,0.886,0.8092,0,1.0917,0.4297,2.3517,0.9007,0.157,1.452,1.0157,1.7727,0.9073,0.9993,0.6798,1.2911,1.8016,0.3668,0.9759,0.9391,1.1559,0.9992,0.9633,1.285,1.5838,0.5686,0.9879,1.4991,1.0589,0.4303,0.2358,0.9567
Cell_192,1.5276,0.608,0.5642,1.1598,1.1266,0.2176,1.4138,0.2051,0.7823,0.8354,3.9854,4.7651,3.3925,4.3216,3.3323,1.2615,1.0735,0.8574,0.9948,1.6817,1.1046,1.1772,1.3148,0.2137,1.2556,1.0289,0,1.0877,0.4666,0.9516,0.5682,1.3754,1.8147,1.1621,0.3787,0.7905,1.8293,2.5462,1.029,0.4556,1.3721,1.142,1.5461,0.6076,1.1145,1.7668,2.0024,0.1472,0.5485,1.167
Cell_193,0.2409,1.4626,1.1183,1.0162,1.293,1.0743,1.3842,1.5205,2.1672,0.6693,4.1273,3.4833,3.7994,3.8011,3.7041,0,0.4891,0.9406,1.5293,0.9247,1.0653,1.246,1.6532,2.2801,1.8459,0.4855,0.1111,1.3794,0.6582,2.1023,0.9859,1.1268,1.1487,1.3898,1.6866,1.1837,0.9897,0.7426,1.5571,0.2287,1.2595,0.5522,0.8599,0.4774,0.9767,0.6562,0.337,0.6973,1.325,0.5574
Cell_194,0.9014,1.425,1.0715,1.3759,1.2402,0.5766,0.7949,1.1662,1.0035,0.9081,4.4084,5.1569,3.7775,3.8802,3.056,0.8684,1.05,0.7766,0.9968,1.2841,1.0068,1.6104,1.7751,1.3377,0.6164,1.176,0.633,0.8839,0.96,0.452,0.6822,1.2928,0.3367,0.2333,0.6468,1.0211,1.3059,1.692,0.5557,1.853,1.1891,1.611,1.4763,0.5558,1.3086,1.305,0,0.3489,0.8701,1.3455
Cell_195,0.4245,0.9975,0.9561,0.798,0.3951,1.075,1.6778,1.1213,1.4151,0,3.4582,4.6237,3.2973,4.405,3.7791,0.534,0.6212,1.0392,0.3968,2.257,0.3797,1.3531,0.8668,0.9263,1.0371,1.1653,0.8894,0.6929,0.8331,0.6499,1.4526,0,0.9677,1.3823,0.7309,1.782,0.2008,2.0621,0.5511,0.7187,1.3441,1.6148,1.812,0.0994,1.1515,0.8382,1.5397,1.0953,1.0112,1.9442
Cell_196,0,1.073,1.2681,1.9434,1.6081,1.2812,1.3602,1.1715,0.7235,0.8105,4.1039,5.2993,4.4913,3.3106,4.3987,1.735,1.3325,1.5074,0.804,0.7198,0.8774,0.4208,0.2954,1.0351,1.3023,0.7931,1.3777,1.0607,0.8817,1.4823,1.5198,1.0893,1.041,0.0003,0.66,0.4277,0.5368,0.5804,0.6276,1.68,0.3511,1.2165,0.8196,0.8451,0.2081,0.8057,0.4988,0.9221,1.0957,2.0575
Cell_197,0.4056,1.6158,1.044,0.5218,1.5774,0.6846,1.7058,0.9295,1.2963,0.684,3.6789,5.1697,3.6648,4.4776,2.9133,0.729,0.7628,1.0257,1.7062,0.0254,0.0564,0.3779,1.1802,0.1877,0.1323,0.2268,1.4096,0.6445,0.587,0.8117,1.0105,0.3599,0.275,0.9011,0.8959,1.7994,1.1227,1.1212,1.0989,0.6066,1.1992,0.9533,1.435,0.2863,0.9194,1.0379,0.018,1.2804,0.4414,0.949
Cell_198,1.1671,1.5879,1.9857,0,0.5828,1.2409,1.7251,0.8672,2.358,0.4675,5.18,3.9606,3.7432,5.3363,3.7289,1.5066,0.6968,1.1263,0.7085,1.0876,0.9027,0.9557,0.7595,0.5785,0.7266,0.2451,1.55,2.11,0.2807,1.0329,1.5526,0.5355,1.5308,0.5536,0.0154,1.3475,1.863,0.2096,0.4878,1.2749,0.7528,0.642,0.9034,1.2564,1.3197,1.3125,0.7028,2.6022,0.7167,0.8569
Cell_199,0.7222,1.3653,0.0927,1.0684,1.5346,0.8474,1.3287,1.7531,1.4162,0.2476,5.0668,3.3119,4.5018,3.4285,4.7247,1.4308,1.6755,0.354,1.0663,0.8586,1.3779,0.4674,1.6092,1.2923,0.3767,1.2813,0.7463,0.8108,1.1526,1.9085,0.687,0,1.1121,0.5114,0.5232,0,0.1985,1.5944,1.5341,0.8602,0.204,0.6093,0.9551,0.6494,1.3917,0.8087,0.9491,1.0698,1.8281,0.5456
Cell_200,1.034,0.32,1.1876,1.4415,0.4277,1.608,0.0847,0.7964,1.2146,1.819,3.675,3.2803,3.7774,5.3679,4.6984,0.4193,1.192,0.5234,0.6672,1.3183,0.4177,1.4656,1.4165,0.8765,0.5042,1.186,1.456,1.7566,0.9704,0.6743,0.8015,1.4661,1.0412,1.1129,0.5403,0.5432,0.4715,0,0.9695,0.4241,0.6344,0.3983,0.8649,0.1269,2.029,1.5531,1.1063,0.1445,0.2887,1.192
Cell_201,0.8595,1.0066,1.4892,0.2347,0.3005,1.3725,0.8639,1.302,1.4336,0,3.2364,3.4049,4.5352,3.8396,3.9668,0.4483,0.5124,0.6378,0,0.9835,1.1709,0,1.5256,1.3727,1.2136,0.2169,1.3405,0.9425,1.3964,1.213,0.6078,0.8207,0.9306,0.5556,0.4744,1.469,0.7343,1.1645,1.0432,0.9247,1.9045,0.8456,0.8475,0.4479,1.3957,0.3837,1.2596,1.1244,1.6526,1.7497
Cell_202,1.8085,1.1555,0.6666,0.4403,1.3415,1.9374,0.5402,0.7401,0.6883,0.8197,3.8775,4.7175,4.0944,3.2743,3.6413,1.8159,0.2914,1.3056,1.1163,0.2998,1.2414,0.4817,0.3236,0.6604,0.8891,1.8531,0.1355,0.6269,1.3882,1.7517,0.8907,0.0273,0.873,1.2173,0.3953,0,0.6769,0.2454,0.3607,2.3125,0.7626,1.6132,0.7195,1.6873,1.1892,1.0609,0.6213,0.8274,1.1327,0.6128
Cell_203,0.9362,0.7064,1.8771,0.9496,0.866,1.0272,0.4342,0.5271,0.3897,0.3349,3.7186,3.901,3.5768,3.6066,4.0539,0.9317,1.7121,0.5754,0.276,0.5662,1.3508,1.3555,0.8136,1.4403,1.023,0.3963,0.9852,0.2047,1.3607,1.5331,0.783,1.076,0.6766,1.7846,0.4859,1.4622,0.8118,1.06,1.1508,1.043,1.5388,1.1193,0.7459,1.6863,0.7731,1.0644,1.3263,1.5537,1.5336,0.9269
Cell_204,1.0285,1.0633,1.2068,0.6171,0.5652,0.6206,0.7054,0.8212,0.917,1.4266,3.57,3.5004,4.5555,4.2653,4.0602,0.7118,0.7496,1.061,0.7388,1.0142,1.4841,0.5159,1.0258,1.9228,0.6224,1.8717,0.9776,1.9812,1.3496,1.6472,0,0.8918,1.2511,0.8224,1.2361,0.6269,0.8685,1.5646,1.3937,0.4784,0.9852,1.6691,0.5006,1.2882,1.0275,1.6886,2.0926,1.3817,0.5942,0.0262
Cell_205,0.9584,1.4537,1.6521,0.982,0.8545,0.5212,1.19,1.7075,0.6084,1.2879,4.135,3.9841,4.9275,3.6445,3.9484,2.2309,2.1638,1.5222,1.4712,1.4811,2.5634,0.7242,0,1.0114,0.9242,1.5415,1.216,0.6848,1.7599,0.721,1.5615,0.7161,0.6503,1.2156,1.6454,0.5274,1.7221,0.879,0.7975,0.2037,0.0391,1.3643,1.307,0.2508,1.1293,1.0122,0.7516,0.8491,0.8775,0.0721
Cell_206,0.3309,1.4063,0.4242,1.1865,1.2088,1.7836,0.3612,0.7174,0.3786,1.0512,5.5713,5.0235,3.586,4.1435,3.7688,0.4393,0.1233,1.1549,0.6538,0.9011,1.1286,0.321,0.7012,0.5284,0.5169,0.5721,0.4975,0.257,0.1439,0.8593,1.6737,1.1923,1.1142,1.9946,0.3155,0.5321,1.0992,1.0963,0.842,0,1.8463,0.8935,1.8881,1.6871,1.1647,0.7693,1.8754,1.4119,0.2945,1.1312
Cell_207,0.7965,1.5188,0.5797,1.7295,1.5654,1.1631,0.0428,1.5227,2.3999,1.4696,3.7152,3.0213,4.3396,4.1868,3.3427,0.7746,0.9824,1.5583,1.1503,0.8752,1.1616,0.4074,0.6449,0.1047,1.0547,0.763,1.0343,1.6819,0.373,0.4667,0.8102,1.0823,0.9577,0.74,1.0518,0.8936,0.5046,0.1716,0.4567,0.7896,1.4312,1.1031,0.3952,0,1.0197,0.79,0.7226,1.4159,1.0321,0.8988
Cell_208,0.888,0.9332,0,1.6933,1.0198,0.8257,1.5456,1.3752,0.953,1.4206,4.058,3.0173,2.6363,5.2134,5.0457,0.6727,2.63,1.545,0.7973,1.5475,0.0325,0.6706,1.0488,0.1361,1.0146,1.2687,1.3236,0.4543,0.9186,0.7845,0.1088,0.2263,0.7847,0.5453,1.9948,1.1181,0.8015,0.8086,0.9909,1.3695,1.1501,0.5827,1.6613,1.3996,0.5434,1.0703,1.6165,1.2409,1.516,1.2055
Cell_209,1.0265,1.6619,1.3703,1.6056,0.9377,1.6814,1.4543,1.4576,1.0181,1.0326,4.3314,3.756,4.7766,3.4328,3.8012,1.425,0.9396,1.0927,1.3127,1.0338,1.1648,0.472,0.9468,1.6716,0.7314,0.185,0.7411,1.4483,1.4424,1.3154,0.1872,0.6602,0.5155,0.7682,1.7746,0.9564,0.767,0.7489,1.6184,1.6056,2.0796,1.2551,0.9034,0.3547,0.3684,1.3279,0.5643,1.8346,1.0517,1.0493
Cell_210,1.0122,1.4736,1.1511,1.109,2.0273,0.0067,1.6308,0.733,0.6258,0.7222,4.9573,4.72,4.1392,3.834,3.5544,0.5497,0.992,0.5648,0.0025,0.4397,1.0523,0.9509,0.9024,0.255,0.8151,1.7068,1.2507,0.6673,1.9623,0.1999,1.4706,1.0026,1.0366,1.5649,1.4538,0,0.6455,1.833,1.1787,1.2909,0.5589,0.7382,1.4697,0.2227,1.3855,0.8233,0.3878,0.9915,0.8229,0.4032
Cell_211,0.4635,1.0936,1.2343,1.3198,0.3862,1.8633,1.0077,1.1463,0.9538,0.4392,2.9099,4.7044,3.2568,4.7568,3.6698,1.0342,0.4935,0.1169,0.5794,0.1834,1.2715,1.1249,0.113,1.7225,1.3298,0.8619,1.0304,0.6198,1.0139,0.4228,0.6625,0.4968,1.1664,0.7469,1.3954,1.1139,1.1999,0.6849,1.1136,1.5037,1.1037,0.985,0.9979,0.2605,0.5549,1.2032,0.1701,1.0413,0,0.5219
Cell_212,1.1235,0.5336,0.4257,1.7962,1.2092,0.8482,1.4549,1.4365,0.0454,1.5683,3.1704,4.9481,3.955,3.7935,4.1127,0.9509,1.2277,0.8678,0.6494,1.6337,1.2085,0.814,1.0708,0.9517,0.6314,1.4486,1.1716,0.3535,0.8089,0.9603,1.0284,1.0181,0.1063,0.9347,1.2991,1.0079,0.1253,1.0997,0.788,1.5849,1.5313,0.7534,1.2311,1.533,1.3203,1.3943,0.4735,1.2238,1.206,1.2225
Cell_213,0.3872,0,0.406,0.2235,1.1164,1.3511,1.0308,0.565,1.2651,0.8926,4.7365,4.4583,4.2411,4.4938,3.3532,0.8288,1.2303,1.3862,0.9959,0.4776,1.8506,1.3156,0.6542,0.5749,0.3862,0.9578,0.9482,0.7741,0.1636,0.716,1.2105,0.5033,0.7621,1.1405,0.8275,1.5674,0.4902,1.4135,2.3056,1.331,0.5925,1.3703,1.703,0.8287,1.5316,1.8646,1.5624,0.3765,0.0102,0.7661
Cell_214,1.0379,0.7235,1.0853,0.6734,1.1887,0.6725,0.9115,1.7676,0.9661,0.7796,3.8783,4.182,3.5226,3.3904,4.1937,0.553,1.4543,0.9007,0.5604,0,0.1195,1.3328,0.7377,1.2024,1.2959,0.6894,1.2628,1.6129,1.0425,1.4179,0.485,0.1844,1.0689,1.0076,0.4897,1.4786,1.3039,0.4594,0.3632,1.4433,1.5151,1.1251,1.2267,1.071,0.8536,1.285,0,0.9689,1.2916,0.8501
Cell_215,0,1.1237,1.0053,0.6002,1.3265,1.7384,0.5657,0.7329,1.7175,0.8114,3.7167,4.3977,4.3015,4.6994,3.326,1.1572,0.6954,1.619,0.7747,0,0.6719,1.124,0.8197,0.0034,1.5749,0.9945,0.5946,1.6792,0.4492,0.9744,0.5638,1.3781,1.3266,0.7556,1.6926,1.4089,2.092,0.1328,1.3218,0.8227,0.2678,0.3479,0.5699,0.8436,1.6513,0,0.2766,1.1698,1.2094,0.8984
Cell_216,0.8231,1.0444,1.7015,0.9988,1.3568,1.4834,0.7044,0.539,0.8011,1.8925,5.2943,3.5359,3.5014,4.455,4.4965,1.142,1.032,0.4968,1.029,0.3757,0.0855,0.5552,1.7538,2.2147,0.6596,0.5786,1.3868,1.4653,1.6872,1.1652,0.9308,0.3838,1.354,0.5903,1.9225,1.0818,0.8494,0.9753,0.5249,0.9255,0.1693,1.2597,0.1944,0.3499,1.2394,1.1193,0.0356,0.5018,0.4408,1.3418
Cell_217,0.1854,0.7476,0.815,0.8142,0.7037,1.299,0.385,1.3798,1.0273,0.3516,3.1232,4.3236,4.5852,3.672,3.6944,1.7629,0.2546,1.1494,0,0.7861,1.735,1.1117,0.5622,1.0287,0.9339,1.8349,0.812,1.0165,1.1317,1.1842,1.6628,1.4134,1.445,0.9906,2.3311,1.3534,1.1555,1.0113,0.3721,0.5812,0.538,1.1964,1.0484,1.8094,0.9959,1.572,1.5987,0.6103,1.5455,0.7188
Cell_218,1.4133,1.4705,1.6666,1.5139,1.4287,0.8777,1.4292,0.7384,1.4962,0.8881,4.1074,2.7565,4.3232,5.5157,3.9076,0.7494,1.5172,0.2601,0,0.7933,0.7506,1.5357,0.2802,1.7912,1.1634,0.8343,0.6529,0.4612,1.9651,1.0131,0.7526,0.733,1.2214,1.1088,0.4808,0.053,0.9229,0.853,1.2992,1.6909,1.0295,1.3508,0.0195,1.534,1.3063,0.8269,1.0666,1.5418,1.0317,1.2637
